2024-08-13 15:57:08,259: 'f'
2024-08-13 15:57:08,591: 'v'
2024-08-13 16:01:39,170: Key.right
2024-08-13 16:01:54,744: Key.right
2024-08-13 16:01:56,838: Key.right
2024-08-13 16:01:58,346: Key.left
2024-08-13 16:02:01,571: Key.right
2024-08-13 16:02:02,591: Key.right
2024-08-13 16:02:02,867: Key.left
2024-08-13 16:02:03,515: Key.left
2024-08-13 16:02:04,011: Key.left
2024-08-13 16:02:04,593: Key.right
2024-08-13 16:02:09,212: Key.right
2024-08-13 16:02:20,551: Key.right
2024-08-13 16:02:43,602: Key.right
2024-08-13 16:02:47,185: Key.right
2024-08-13 16:02:49,765: Key.right
2024-08-13 16:02:52,957: Key.esc
